a|a ; a a a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a	a_a	aAa	a_a	a_a	a	a_a_a	a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a_a_a_a	a_a_a_a_a_a	a_a_a_a_a	a_a_a_a_a_a	a_a	a_a_a	a_a_a	a_a_a_a	a_a_a	a_a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a 	a_ a N
a a; a a a a a a a a_a a a	A:0	a a a a	A:0	a a a a	A:0	a a		Aa a a a a a-a a a a a a a a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0											A:0|A:0|A:0	a a|a a|a																				N
a	A:0	a a a a	A:0	a a a a	A:0	a		Aa a a a a a a a a a a a a a a a a a a a a-a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a		a a a a a a a a a a a a a a a/a a a a a a	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a a a|a a	A:0|A:0|A:0	a|a a|a a																												N
a	A:0	a a a	A:0	a a a	A:0	a	a a	Aa a a a a a a a a a (a-a a a a a).	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a a|a a	A:0|A:0|A:0	a|a a|a a							A:0|A:0|A:0	a|a a|a a																				N
a	A:0	a a	A:0	a a	A:0	a a	a a	Aa a a a a a a, a a a a a, a a a a a a a a a a.	A:0|a://a.a/0.0/0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0	a a|a a							A:0|A:0	a|a a																	A:0	Aa a a		N
a	A:0	a a	A:0	a a	A:0	a		Aa a a a a a a a a a. Aa a a a a. Aa a, a a a a a a a a a a, a a a a a a a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0	a a|a a|a a			A:0	a			A:0|A:0	a a|a																	A:0	Aa a a		N
a	A:0	Aa 0 a	A:0	Aa 0 a	A:0 | A:0	a a | a a	Aa 0 a a a	Aa-a, a a a a a a a a a a a a a a a a. Aa Aa 0 a a a a a.	A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a a|a|a|a a|a a|a a|a a							A:0|A:0|A:0	a|a a|a a																				N
a	A:0	Aa 0 a	A:0	Aa 0 a	A:0 | A:0	a a a | a a	Aa 0 a a a|A.0.0a a a|Aa-A.0.0a+ a|a a a|a a a|a a a|a a-a a|a a|a-0+ a a a	Aa-a, a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a a|a|a|a a|a a|a a|a a	A:0	a a	A:0	Aa 0			A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|Aa 0|a a|Aa 0|Aa 0|Aa 0|a																				N
a	A:0	Aa 0 a	A:0	Aa 0 a	A:0 |A:0	a a a | a a	A-0 a a|A0 a a|Aa 0 a a a|Aa-A-0+ a|a a a|a a a|a a a|a a a|a a	Aa-a, a a a a a a a Aa 0 a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a|a a|a a|a a|a a|a a|a|a a|a a	A:0	Aa 0 a	A:0	Aa 0			A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|Aa 0|Aa 0|Aa 0|a|Aa 0																				N
a	A:0	Aa 0 a	A:0	Aa 0 a	A:0|A:0|A:0|A:0	a a a|a a a a |a a | a a		Aa-a, a a a a a a a a Aa 0 a.	A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0|A:0	a a|a a|a-a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a|a a|a a|a a|a|a a|a a|a a|a a	A:0	Aa 0 a	A:0	Aa 0			A:0|A:0|A:0|A:0|A:0|A:0|A:0	Aa 0|Aa 0|a|Aa 0|a a|a a|Aa 0																				N
a	A:0	Aa 0 a	A:0	Aa 0 a	A:0 | A:0 |A:0	a a a | a a | a a		Aa-a, a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a a|a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a a|a|a a|a a|a|a a|a a	A:0	Aa 0 a	A:0	Aa 0			A:0|A:0|A:0|A:0|A:0|A:0	Aa 0|Aa 0|Aa 0|a a|a a|a																				N
a	A:0	a	A:0	a	A:0	a a		A a a a a a (a a a a a a a) a a a a a a a a a a a a a a a.	A:A-0|A:0|A:0|A:0|A:0|Aa:0|A:0					Aa a a a a a a a a a, a a a a a a a a a a a a a a a, a a a a a a a a a (a a a a a).	Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a_a		Aa a a a a a a a a a a, a, a, a a a a a a, a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a-a a a		A a a a a a a a a a a a a a a a a a a a a a a. Aa a a a, a a a a a a a a a a a a a a a a a a a a a a a a a a a.	A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a.a ; a a a a a a a a a A a a a a a a a a a	A:0	a a	A:0	a a	A:0	a a	a a	Aa a a a a a a a a a.	A:0|A:0|A0|A:0|Aa:0|A:0|A:0|A:0|A:Aa:a-0|AaAa:Aa0aAaAaAaAaA0A0aA|A:0|A:0|A:A0|a://a.a/a/a/a/A0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a_a		A a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a-a a	A:0	a-a a	A:0	a-a a a		Aa a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a-a a a	A:0	a-a a a	A:0	a_a		Aa a a a a a a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a-a a	A:0	a-a a	A:0	a a		A a a a a a a a a a a a a a a a; a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a	a a	Aa a a a a a a a a a a a a a a a a a.	A:A0A0A0A|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0|A:0	a a|a a|a a|a a			A:0	a			A:0|A:0	a|a a																	A:0	Aa a a		N
a	A:0	a a a	A:0	a a a	A:0	a a	A|a-a a a	Aa a a a a a a a a a a a a a a a. Aa a a a a a a a a: a a a a a. Aa a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|a://a.a/0.0/0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a a	A:0	a a a a	A:0 	a 		Aa a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a a																														N
a	A:0	a a	A:0	a a	A:0	a	a-a a|a-a a a|a|a a	Aa a a, a a a a a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|a://a.a/0.0/0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a a	A:0|A:0|A:0 | A:0	a a|a a|a | a a			A:0	Aa 0			A:0|A:0|A:0|A:0 |A:0| A:0	Aa 0|Aa 0|Aa 0|a| a a | a a																				N
a	A:0	a a a	A:0	a a a	A:0	a	a-a a|a-a a a|a|a a|a a	Aa a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0|A:0	a|a a|a a|a a			A:0	Aa 0			A:0|A:0|A:0|A:0|A:0|A:0	Aa 0|a a|Aa 0|Aa 0|a|a a																				N
a	A:0	a a a	A:0	a a a	A:0 	a a a a 	a a	A a a a a a a a a a.	A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0	a a|a a|a																												N
aAaAa.a	A:0	a a a	A:0	a a a				Aa a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAaAa.a	A:0	a a a a	A:0	a a a a				Aa a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a		Aa a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a	A:0	a a a	A:0	a a	a a a	Aa a a a, a a a, a a a Aa Aa.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a		Aa a a a a a-a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0 	a a 	a a|a a	Aa a a a a a a a a a a a a a.	Aa:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a a|a a a																														N
a	A:0	a a	A:0	a a	A:0 	a a 	a a	Aa a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a a									A:0|A:0|A:0	a|a a|a a																				N
a	A:0	a	A:0	a	A:0	a a		Aa a a a a a A, a (a), a a A, a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a-a-a a	a	A a-a, a a a a a a a a a a a a-a a. Aa A a A0/A, Aa, AaA, a a a A0, A-0 a Aa Aa A0 a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a_a_a	A:0	a_a_a	A:0	a_a	a a a	a a a a a, a a, a a a a a	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a	A:0	a	A:0|A:0	a a|a-a-a a		A a a a a a a a a A a a a (a.a. a) a a a a.	A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a																														N
a	A:0	a a	A:0	a a	A:0	a a		Aa a a a a a a, a-a a. Aa a a a a a a a a a a a a a a a a. Aa a a a a a a a a a a a a.	A:A0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a																														N
a	A:0	a_a	A:0	a_a	A:0	a a		Aa a a a a, a a a a a a a a a a a a a a a_a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a																														N
a	A:0	a a a	A:0	a a a	A:0	a a 	a a a	Aa a a a a a.	A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a		Aa a a a a a a a.	A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
